id,name,tags,ingredients,ingredients_quantity,processed_ingredients
444,Asparagi saltati in padella,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Asparagi verdi 12-16 IT mondati, Olio extra vergine di oliva, Sale marino fino iodato","100gr, 5ml, 2gr","asparagi verdi, olio oliva, sale"
861,Baffo di ombrina scottato in padella,"['Piatto da preparare', 'Pesce', 'Secondo']","Maggiorana, Sale marino fino iodato, Olio extra vergine di oliva, Filetto di ombrina","2gr, 1.5gr, 5ml, 150gr","maggiorana, sale, olio oliva, filetto ombrina"
43,Baffo di salmone scottato in padella,"['Piatto da preparare', 'Pesce', 'Secondo']","Sale marino fino iodato, Olio extra vergine di oliva, Prezzemolo Italia, Baffo di salmone","0.75gr, 1.5ml, 2gr, 150gr","sale, olio oliva, prezzemolo, salmone"
52,Bastoncini di carote olio e limone,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Schiscetta', 'Contorno']","Prezzemolo Italia, Olio extra vergine di oliva, Sale marino  grosso iodato, Limone da spremere (1 limone contiene circa 40ml di succo), Bastoncini di carote lavati e mondati","2gr, 1.5ml, 9gr, 4ml, 100gr","prezzemolo, olio oliva, sale, limone limone, carote"
644,Besciamella,,"Sale marino fino iodato, Farina di grano tenero ""00"", Granarolo burro italiano 200 g, Latte Uht parzialmente scremato","10gr, 100gr, 100gr, 100ml","sale, farina grano, burro, latte"
1143,Biscotti di pasta frolla,"['Piatto da preparare', 'Dessert', 'Dolce']","Farina di grano tenero ""00"", Limone, Zucchero semolato bianco, Uova da galline allevate all'aperto senza OGM - Italia  CAT. A, Burro 125 g","250gr, 1unit, 125gr, 1unit, 1unit","farina grano, limone, zucchero, uova all'aperto ogm, , burro"
1055,Bocconcini di pollo al curry,"['Carne', 'Piatto da preparare', 'Secondo']","Sale marino fino iodato, Olio extra vergine di oliva, Panna da cucina, Cipolla tritata, Preparato per pollo al curry, Bocconcini  di pollo","1gr, 1.5ml, 15ml, 10gr, 8gr, 120gr","sale, olio oliva, panna, cipolla, pollo curry, pollo"
1398,Bocconcini di pollo alla mediterranea,"['Carne', 'Piatto da preparare', 'Secondo']","Capperi e olive taggiasche, Prezzemolo Italia, Sale marino fino iodato, Olio extra vergine di oliva, Cipolla tritata, Pomodori ciliegini, Bocconcini  di pollo","25gr, 2gr, 2gr, 5ml, 10gr, 30gr, 120gr","capperi olive, prezzemolo, sale, olio oliva, cipolla, pomodori ciliegini, pollo"
1264,Bocconcini di pollo al limone,"['Carne', 'Piatto da preparare', 'Secondo']","Bocconcini  di pollo, Prezzemolo Italia, Farina di grano tenero ""00"", Limone da spremere (1 limone contiene circa 40ml di succo), Sale marino fino iodato, Olio extra vergine di oliva","120gr, 0.5gr, 10gr, 20ml, 1gr, 1.5ml","pollo, prezzemolo, farina grano, limone limone, sale, olio oliva"
1354,Bowl,['Birra e Vino'],"Pomodori datterini rondelle, Radicchio rosso tondo julienne, Finocchi julienne, Carote julienne, Peperoni cotti al forno senza pelle, Riso carnaroli cotto, Zucchine grigliate, Tonno pinne gialle tritato a coltello, Spinacino fresco  IT, Cipolla  rossa affettata","50gr, 20gr, 40gr, 40gr, 50gr, 140gr, 70gr, 100gr, 20gr, 20gr","pomodori, radicchio, finocchi, carote, peperoni, riso carnaroli cotto, zucchine grigliate, tonno, spinacino, cipolla"
1070,Box Blu,['Box San Valentino'],"Vino bianco Trebbiano, Cuore di frolla con frutta fresca, Spumante Extra Dry Vinificato in Rosato - Oltrepo Pavese, Cuore di pan di spagna e crema chantilly, Gran Cuvée Brut Millesimato Oltrepò Pavese Metodo Classico Docg - Blanc de noir, Burro 125 g, Aglio a fette, Tonno pinne gialle con granella di pistacchi e mandorle, Mazzancolla tropicale, Zucchine a fette, Basilico Italia, Cipolla tritata, Verdure per dadolata di verdure, Zucchine cubettate, Dado vegetale fatto da noi, Riso Carnaroli classico Cavalieri d'Italia, Mozzarella di bufala a fette, Salmone affumicato","20ml, 1None, 1unit, 1None, 1unit, 1unit, 10gr, 300gr, 160gr, 60gr, 4gr, 6gr, 300gr, 140gr, 40gr, 200gr, 120gr, 100gr","vino trebbiano, frolla, spumante dry oltrepo pavese, pan crema chantilly, gran cuvée brut oltrepò pavese metodo docg blanc de noir, burro, aglio, tonno granella pistacchi mandorle, mazzancolla tropicale, zucchine, basilico, cipolla, verdure verdure, zucchine, dado vegetale, riso carnaroli, mozzarella bufala, salmone"
